,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
0,265,Alcohol,Beer
1,1255,Alcohol,Beer
2,2425,Alcohol,Beer
3,4343,Alcohol,Beer
4,4709,Alcohol,Beer
5,5113,Alcohol,Beer
6,5225,Alcohol,Beer
7,5412,Alcohol,Beer
8,8202,Alcohol,Beer
9,8707,Alcohol,Beer
10,8940,Alcohol,Beer
11,9747,Alcohol,Beer
12,9776,Alcohol,Beer
13,9940,Alcohol,Beer
14,10249,Alcohol,Beer
15,10498,Alcohol,Beer
16,11785,Alcohol,Beer
17,14055,Alcohol,Beer
18,14062,Alcohol,Beer
19,14747,Alcohol,Beer
20,15531,Alcohol,Beer
21,15595,Alcohol,Beer
22,16197,Alcohol,Beer
23,19652,Alcohol,Beer
24,20630,Alcohol,Beer
25,21019,Alcohol,Beer
26,21251,Alcohol,Beer
27,24420,Alcohol,Beer
28,25230,Alcohol,Beer
29,25804,Alcohol,Beer
30,27167,Alcohol,Beer
31,27656,Alcohol,Beer
32,28342,Alcohol,Beer
33,29325,Alcohol,Beer
34,30992,Alcohol,Beer
35,31587,Alcohol,Beer
36,33875,Alcohol,Beer
37,37567,Alcohol,Beer
38,41398,Alcohol,Beer
39,41583,Alcohol,Beer
40,42203,Alcohol,Beer
41,45525,Alcohol,Beer
42,46066,Alcohol,Beer
43,49061,Alcohol,Beer
44,49953,Alcohol,Beer
45,50622,Alcohol,Beer
46,51839,Alcohol,Beer
47,55471,Alcohol,Beer
48,56190,Alcohol,Beer
49,59524,Alcohol,Beer
50,62542,Alcohol,Beer
51,68623,Alcohol,Beer
52,69073,Alcohol,Beer
53,73594,Alcohol,Beer
54,74725,Alcohol,Beer
55,75060,Alcohol,Beer
56,77806,Alcohol,Beer
57,78592,Alcohol,Beer
58,78821,Alcohol,Beer
59,80289,Alcohol,Beer
60,81407,Alcohol,Beer
61,81674,Alcohol,Beer
62,82086,Alcohol,Beer
63,85273,Alcohol,Beer
64,85795,Alcohol,Beer
65,91726,Alcohol,Beer
66,96065,Alcohol,Beer
67,97037,Alcohol,Beer
68,106902,Alcohol,Beer
69,115479,Alcohol,Beer
70,117555,Alcohol,Beer
